2_2_0.1,92.8,0.9333333333333333,0.9733333333333334,0.95,0.8966666666666666,0.8933333333333333,0.94,0.95,0.89,0.9266666666666666,0.9266666666666666
2_3_0.1,93.6,0.9533333333333334,0.9866666666666667,0.98,0.9433333333333334,0.8666666666666667,0.95,0.9666666666666667,0.8933333333333333,0.8866666666666667,0.9333333333333333
2_4_0.1,92.7,0.9466666666666667,0.9733333333333334,0.9633333333333334,0.88,0.8866666666666667,0.9633333333333334,0.9333333333333333,0.86,0.93,0.9333333333333333
3_2_0.1,92.93333333333334,0.9333333333333333,0.99,0.9633333333333334,0.91,0.8866666666666667,0.85,0.9566666666666667,0.9066666666666666,0.9566666666666667,0.94
3_3_0.1,94.36666666666666,0.9366666666666666,0.98,0.94,0.9,0.9233333333333333,0.9533333333333334,0.96,0.9233333333333333,0.96,0.96
3_4_0.1,94.0,0.9533333333333334,0.9833333333333333,0.96,0.9133333333333333,0.88,0.9566666666666667,0.9566666666666667,0.9133333333333333,0.9466666666666667,0.9366666666666666
4_2_0.1,94.26666666666667,0.96,0.9833333333333333,0.9666666666666667,0.9166666666666666,0.8933333333333333,0.9566666666666667,0.96,0.9133333333333333,0.9533333333333334,0.9233333333333333
4_3_0.1,94.53333333333333,0.95,0.9866666666666667,0.9633333333333334,0.9,0.9066666666666666,0.9566666666666667,0.9566666666666667,0.9366666666666666,0.9533333333333334,0.9433333333333334
4_4_0.1,94.26666666666667,0.95,0.9733333333333334,0.9566666666666667,0.9033333333333333,0.91,0.9666666666666667,0.94,0.9333333333333333,0.9466666666666667,0.9466666666666667
2_2_0.2,92.8,0.9333333333333333,0.9766666666666667,0.9666666666666667,0.9033333333333333,0.8833333333333333,0.9333333333333333,0.96,0.8733333333333333,0.9233333333333333,0.9266666666666666
2_3_0.2,93.36666666666666,0.96,0.9766666666666667,0.96,0.8933333333333333,0.89,0.93,0.95,0.8966666666666666,0.93,0.95
2_4_0.2,93.36666666666666,0.9433333333333334,0.98,0.9666666666666667,0.9333333333333333,0.8533333333333334,0.9566666666666667,0.9333333333333333,0.8866666666666667,0.94,0.9433333333333334
3_2_0.2,93.56666666666666,0.95,0.97,0.98,0.9333333333333333,0.8966666666666666,0.94,0.9533333333333334,0.8733333333333333,0.92,0.94
3_3_0.2,94.2,0.9366666666666666,0.9833333333333333,0.96,0.9166666666666666,0.8966666666666666,0.9533333333333334,0.9666666666666667,0.92,0.9466666666666667,0.94
3_4_0.2,93.16666666666667,0.94,0.9866666666666667,0.94,0.8,0.9166666666666666,0.9533333333333334,0.9366666666666666,0.9433333333333334,0.94,0.96
4_2_0.2,93.3,0.94,0.98,0.9466666666666667,0.8633333333333333,0.86,0.9633333333333334,0.9533333333333334,0.9133333333333333,0.9566666666666667,0.9533333333333334
4_3_0.2,93.96666666666667,0.9466666666666667,0.9733333333333334,0.9666666666666667,0.9,0.9,0.9633333333333334,0.9533333333333334,0.9266666666666666,0.9366666666666666,0.93
4_4_0.2,93.96666666666667,0.94,0.9833333333333333,0.96,0.8766666666666667,0.8866666666666667,0.9733333333333334,0.96,0.9333333333333333,0.9533333333333334,0.93
2_2_0.5,93.53333333333333,0.91,0.98,0.9766666666666667,0.8933333333333333,0.9133333333333333,0.9566666666666667,0.95,0.9166666666666666,0.94,0.9166666666666666
2_3_0.5,93.26666666666667,0.96,0.97,0.98,0.88,0.8733333333333333,0.9633333333333334,0.9433333333333334,0.8866666666666667,0.9366666666666666,0.9333333333333333
2_4_0.5,93.36666666666666,0.9666666666666667,0.9766666666666667,0.97,0.88,0.89,0.95,0.9733333333333334,0.8666666666666667,0.9233333333333333,0.94
3_2_0.5,93.83333333333333,0.95,0.98,0.96,0.89,0.9166666666666666,0.9466666666666667,0.95,0.9133333333333333,0.9166666666666666,0.96
3_3_0.5,93.3,0.89,0.9866666666666667,0.9533333333333334,0.9033333333333333,0.9066666666666666,0.8966666666666666,0.9533333333333334,0.9466666666666667,0.9566666666666667,0.9366666666666666
3_4_0.5,93.9,0.96,0.9833333333333333,0.9533333333333334,0.8966666666666666,0.89,0.9366666666666666,0.97,0.9233333333333333,0.9366666666666666,0.94
4_2_0.5,94.23333333333333,0.94,0.9966666666666667,0.96,0.8833333333333333,0.89,0.9466666666666667,0.9633333333333334,0.95,0.97,0.9233333333333333
4_3_0.5,94.2,0.9533333333333334,0.9833333333333333,0.97,0.8466666666666667,0.91,0.9566666666666667,0.96,0.9366666666666666,0.9533333333333334,0.95
4_4_0.5,93.56666666666666,0.9566666666666667,0.9666666666666667,0.9433333333333334,0.9066666666666666,0.8766666666666667,0.9766666666666667,0.9533333333333334,0.91,0.9433333333333334,0.9233333333333333
